[12:53:49.869]: Setting permission information
[12:53:49.907]: Parsing permission information
[12:53:49.918]: Permissions set!
[12:53:49.929]: Starting DISPATCH server
[12:53:49.962]: DispatchSystem.Server by BlockBa5her loaded
[12:53:49.977]: Reading database...
[12:53:49.996]: Setting ip to 0.0.0.0
[12:53:50.004]: Setting port to 33333
[12:53:50.042]: Creating TCP Device
[12:53:50.253]: TCP Created, starting TCP
[12:53:50.325]: TCP Started, Listening for connections...
[12:53:50.420]: Read and set database
[12:53:50.426]: Writing current information to database
[12:56:50.552]: Writing current information to database
[12:59:50.561]: Writing current information to database
[13:02:50.569]: Writing current information to database
[13:05:50.595]: Writing current information to database
[13:08:50.633]: Writing current information to database
[13:11:50.636]: Writing current information to database
[13:14:50.639]: Writing current information to database
[13:17:50.690]: Writing current information to database
[13:20:50.730]: Writing current information to database
[13:23:50.768]: Writing current information to database
[13:26:50.807]: Writing current information to database
[13:29:50.830]: Writing current information to database
[13:32:50.869]: Writing current information to database
[13:35:50.912]: Writing current information to database
[13:38:50.918]: Writing current information to database
[13:41:50.945]: Writing current information to database
[13:44:50.995]: Writing current information to database
[13:47:51.013]: Writing current information to database
[13:50:51.044]: Writing current information to database
[13:53:51.090]: Writing current information to database
[13:56:51.134]: Writing current information to database
[13:59:51.169]: Writing current information to database
[14:02:51.218]: Writing current information to database
[14:05:51.240]: Writing current information to database
[14:08:51.290]: Writing current information to database
[14:11:51.328]: Writing current information to database
[14:14:51.343]: Writing current information to database
[14:17:51.360]: Writing current information to database
[14:20:51.362]: Writing current information to database
[14:23:51.381]: Writing current information to database
[14:26:51.386]: Writing current information to database
[14:29:51.435]: Writing current information to database
